2024-05-06T21:22:45.364215 update_cores blackscholes [2,3]
2024-05-06T21:22:45.383603 update_cores memcached [0,1]
2024-05-06T21:22:45.658879 update_cores memcached [0]
2024-05-06T21:22:45.693190 update_cores blackscholes [1,2,3]
2024-05-06T21:22:45.976860 update_cores blackscholes [2,3]
2024-05-06T21:22:45.996020 update_cores memcached [0,1]
2024-05-06T21:22:46.269071 update_cores memcached [0]
2024-05-06T21:22:46.300866 update_cores blackscholes [1,2,3]
2024-05-06T21:22:46.598078 update_cores blackscholes [2,3]
2024-05-06T21:22:46.629956 update_cores memcached [0,1]
2024-05-06T21:22:46.906898 update_cores memcached [0]
2024-05-06T21:22:46.937856 update_cores blackscholes [1,2,3]
2024-05-06T21:22:47.227683 update_cores blackscholes [2,3]
2024-05-06T21:22:47.246550 update_cores memcached [0,1]
2024-05-06T21:22:47.519193 update_cores memcached [0]
2024-05-06T21:22:47.557274 update_cores blackscholes [1,2,3]
2024-05-06T21:22:47.845987 update_cores blackscholes [2,3]
2024-05-06T21:22:47.862667 update_cores memcached [0,1]
2024-05-06T21:22:48.133972 update_cores memcached [0]
2024-05-06T21:22:48.160590 update_cores blackscholes [1,2,3]
2024-05-06T21:22:48.441574 update_cores blackscholes [2,3]
2024-05-06T21:22:48.460466 update_cores memcached [0,1]
2024-05-06T21:22:48.733887 update_cores memcached [0]
2024-05-06T21:22:48.767559 update_cores blackscholes [1,2,3]
2024-05-06T21:22:49.070840 update_cores blackscholes [2,3]
2024-05-06T21:22:49.097234 update_cores memcached [0,1]
2024-05-06T21:22:49.369797 update_cores memcached [0]
2024-05-06T21:22:49.403248 update_cores blackscholes [1,2,3]
2024-05-06T21:22:49.689783 update_cores blackscholes [2,3]
2024-05-06T21:22:49.708917 update_cores memcached [0,1]
2024-05-06T21:22:49.979189 update_cores memcached [0]
2024-05-06T21:22:50.008482 update_cores blackscholes [1,2,3]
2024-05-06T21:22:50.290666 update_cores blackscholes [2,3]
2024-05-06T21:22:50.316360 update_cores memcached [0,1]
2024-05-06T21:22:50.590126 update_cores memcached [0]
2024-05-06T21:22:50.625474 update_cores blackscholes [1,2,3]
2024-05-06T21:22:50.918007 update_cores blackscholes [2,3]
2024-05-06T21:22:50.939517 update_cores memcached [0,1]
2024-05-06T21:22:51.209642 update_cores memcached [0]
2024-05-06T21:22:51.235651 update_cores blackscholes [1,2,3]
2024-05-06T21:22:51.527574 update_cores blackscholes [2,3]
2024-05-06T21:22:51.547656 update_cores memcached [0,1]
2024-05-06T21:22:51.823627 update_cores memcached [0]
2024-05-06T21:22:51.852944 update_cores blackscholes [1,2,3]
2024-05-06T21:22:52.138039 update_cores blackscholes [2,3]
2024-05-06T21:22:52.162842 update_cores memcached [0,1]
2024-05-06T21:22:52.435607 update_cores memcached [0]
2024-05-06T21:22:52.463787 update_cores blackscholes [1,2,3]
2024-05-06T21:22:52.760295 update_cores blackscholes [2,3]
2024-05-06T21:22:52.784052 update_cores memcached [0,1]
2024-05-06T21:22:53.059843 update_cores memcached [0]
2024-05-06T21:22:53.090006 update_cores blackscholes [1,2,3]
2024-05-06T21:22:53.386789 update_cores blackscholes [2,3]
2024-05-06T21:22:53.406515 update_cores memcached [0,1]
2024-05-06T21:22:53.677267 update_cores memcached [0]
2024-05-06T21:22:53.705681 update_cores blackscholes [1,2,3]
2024-05-06T21:22:54.016050 update_cores blackscholes [2,3]
2024-05-06T21:22:54.037300 update_cores memcached [0,1]
2024-05-06T21:22:54.563948 update_cores memcached [0]
2024-05-06T21:22:54.593739 update_cores blackscholes [1,2,3]
2024-05-06T21:22:54.881010 update_cores blackscholes [2,3]
2024-05-06T21:22:54.900993 update_cores memcached [0,1]
2024-05-06T21:22:55.175482 update_cores memcached [0]
2024-05-06T21:22:55.205029 update_cores blackscholes [1,2,3]
2024-05-06T21:22:55.503623 update_cores blackscholes [2,3]
2024-05-06T21:22:55.524005 update_cores memcached [0,1]
2024-05-06T21:22:55.799099 update_cores memcached [0]
2024-05-06T21:22:55.832391 update_cores blackscholes [1,2,3]
2024-05-06T21:22:56.120600 update_cores blackscholes [2,3]
2024-05-06T21:22:56.147166 update_cores memcached [0,1]
2024-05-06T21:22:56.423784 update_cores memcached [0]
2024-05-06T21:22:56.455808 update_cores blackscholes [1,2,3]
2024-05-06T21:22:56.741340 update_cores blackscholes [2,3]
2024-05-06T21:22:56.763450 update_cores memcached [0,1]
2024-05-06T21:22:57.041178 update_cores memcached [0]
2024-05-06T21:22:57.077878 update_cores blackscholes [1,2,3]
2024-05-06T21:22:57.370376 update_cores blackscholes [2,3]
2024-05-06T21:22:57.392006 update_cores memcached [0,1]
2024-05-06T21:22:57.665146 update_cores memcached [0]
2024-05-06T21:22:57.693095 update_cores blackscholes [1,2,3]
2024-05-06T21:22:57.983845 update_cores blackscholes [2,3]
2024-05-06T21:22:58.001774 update_cores memcached [0,1]
2024-05-06T21:22:58.532602 update_cores memcached [0]
2024-05-06T21:22:58.562950 update_cores blackscholes [1,2,3]
2024-05-06T21:22:58.852927 update_cores blackscholes [2,3]
2024-05-06T21:22:58.871899 update_cores memcached [0,1]
2024-05-06T21:22:59.145968 update_cores memcached [0]
2024-05-06T21:22:59.181581 update_cores blackscholes [1,2,3]
2024-05-06T21:22:59.478455 update_cores blackscholes [2,3]
2024-05-06T21:22:59.499339 update_cores memcached [0,1]
2024-05-06T21:22:59.773240 update_cores memcached [0]
2024-05-06T21:22:59.802997 update_cores blackscholes [1,2,3]
2024-05-06T21:23:00.128358 update_cores blackscholes [2,3]
2024-05-06T21:23:00.149561 update_cores memcached [0,1]
2024-05-06T21:23:00.678518 update_cores memcached [0]
2024-05-06T21:23:00.704384 update_cores blackscholes [1,2,3]
2024-05-06T21:23:00.989760 update_cores blackscholes [2,3]
2024-05-06T21:23:01.008202 update_cores memcached [0,1]
2024-05-06T21:23:01.294973 update_cores memcached [0]
2024-05-06T21:23:01.323993 update_cores blackscholes [1,2,3]
2024-05-06T21:23:01.617864 update_cores blackscholes [2,3]
2024-05-06T21:23:01.634824 update_cores memcached [0,1]
2024-05-06T21:23:01.905669 update_cores memcached [0]
2024-05-06T21:23:01.934257 update_cores blackscholes [1,2,3]
2024-05-06T21:23:02.225050 update_cores blackscholes [2,3]
2024-05-06T21:23:02.253072 update_cores memcached [0,1]
2024-05-06T21:23:02.524527 update_cores memcached [0]
2024-05-06T21:23:02.553673 update_cores blackscholes [1,2,3]
2024-05-06T21:23:02.841254 update_cores blackscholes [2,3]
2024-05-06T21:23:02.859095 update_cores memcached [0,1]
2024-05-06T21:23:03.131887 update_cores memcached [0]
2024-05-06T21:23:03.167230 update_cores blackscholes [1,2,3]
2024-05-06T21:23:03.465916 update_cores blackscholes [2,3]
2024-05-06T21:23:03.485197 update_cores memcached [0,1]
2024-05-06T21:23:03.759215 update_cores memcached [0]
2024-05-06T21:23:03.792302 update_cores blackscholes [1,2,3]
2024-05-06T21:23:04.076938 update_cores blackscholes [2,3]
2024-05-06T21:23:04.096007 update_cores memcached [0,1]
2024-05-06T21:23:04.369372 update_cores memcached [0]
2024-05-06T21:23:04.400017 update_cores blackscholes [1,2,3]
